courseID,hours,Instructor
CO101,3,I1
CO102,4,I2
CO103,2,I3
CO104,3,I4
CO105,3,I5
MA101,3,I6
PH101,2,I7
CO201,3,I3
CO202,4,I1
CO204,3,I8
MA201,3,I6
EM101,2,I9
DS201,2,I2
EE201,3,I10
EC201,4,I11
CV202,3,I12
CO301,3,I4
CO302,2,I8
CO303,4,I3
CO304,3,I13
CO306,2,I3
EE301,3,I9
CO401,2,I13
CO402,4,I5
CO403,3,I15
CO404,2,I2
CM101,4,I5
CO203,3,I15
CM102,2,I16
CM105,3,I18
CM108,2,I4
CM201,4,I16
CM202,2,I5
CM206,3,I18
CE101,1,I2
CE103,3,I16
CE105,3,I19
EE501,2,I9
CM206,3,I13
CE202,2,I19
CE205,3,I20
CE201,3,I15
CP101,1,I4
CP101,2,I120
IP301,2,I21
